"","InvoiceDate1","M_NetFare"
"1",2018-04-01,5231.28571428571
"2",2018-04-02,4279.67469879518
"3",2018-04-03,4637.38157894737
"4",2018-04-04,4608.38541666667
"5",2018-04-05,5053.11188811189
"6",2018-04-06,4885.20833333333
"7",2018-04-07,4698.98780487805
"8",2018-04-08,4823.30508474576
"9",2018-04-09,4963.79569892473
"10",2018-04-10,4374.09090909091
"11",2018-04-11,3983.05154639175
"12",2018-04-12,4590.08163265306
"13",2018-04-13,5783.04819277108
"14",2018-04-14,6347.01612903226
"15",2018-04-15,5054.70967741936
"16",2018-04-16,4779.43269230769
"17",2018-04-17,4474.80208333333
"18",2018-04-18,4530.49484536082
"19",2018-04-19,5390.31428571429
"20",2018-04-20,5704.22972972973
"21",2018-04-21,6015.30303030303
"22",2018-04-22,4177.5
"23",2018-04-23,4774.67479674797
"24",2018-04-24,5389.89814814815
"25",2018-04-25,5890.65853658537
"26",2018-04-26,7186.43209876543
"27",2018-04-27,7835.25490196078
"28",2018-04-28,6537.65625
"29",2018-04-29,5970.89189189189
"30",2018-04-30,6498.88235294118
"31",2018-05-01,4491.56790123457
"32",2018-05-02,5964.52577319588
"33",2018-05-03,5100.1935483871
"34",2018-05-04,5619.36470588235
"35",2018-05-05,5679.36486486487
"36",2018-05-06,5568.04081632653
"37",2018-05-07,4232.44230769231
"38",2018-05-08,5477.63432835821
"39",2018-05-09,5882.40404040404
"40",2018-05-10,4817.46808510638
"41",2018-05-11,4987.96774193548
"42",2018-05-12,6522.08108108108
"43",2018-05-13,5575.93939393939
"44",2018-05-14,4466.69512195122
"45",2018-05-15,5716.04310344828
"46",2018-05-16,6027.36296296296
"47",2018-05-17,5410.93805309734
"48",2018-05-18,5035.5905511811
"49",2018-05-19,8108.15254237288
"50",2018-05-20,4543.5
"51",2018-05-21,5125.60256410256
"52",2018-05-22,5176.10869565217
"53",2018-05-23,5185.16748768473
"54",2018-05-24,4672.01333333333
"55",2018-05-25,5202.75630252101
"56",2018-05-26,5510.10843373494
"57",2018-05-27,4215.39130434783
"58",2018-05-28,4403.1875
"59",2018-05-29,4852.33606557377
"60",2018-05-30,4571.8768115942
"61",2018-05-31,4092.81318681319
"62",2018-06-01,6239.26229508197
"63",2018-06-02,6021.17857142857
"64",2018-06-03,5232.48780487805
"65",2018-06-04,5587.12716763006
"66",2018-06-05,6729.87417218543
"67",2018-06-06,6903.22033898305
"68",2018-06-07,5153.912
"69",2018-06-08,6887.765625
"70",2018-06-09,5905.6976744186
"71",2018-06-10,5307.96666666667
"72",2018-06-11,5479.8
"73",2018-06-12,6047.87272727273
"74",2018-06-13,5157.1067961165
"75",2018-06-14,4029.21052631579
"76",2018-06-15,5434.02830188679
"77",2018-06-16,5231.37735849057
"78",2018-06-17,5254.38235294118
"79",2018-06-18,4078.38961038961
"80",2018-06-19,4960.74380165289
"81",2018-06-20,4499.76100628931
"82",2018-06-21,4696.67307692308
"83",2018-06-22,2747.3738317757
"84",2018-06-23,5431.40789473684
"85",2018-06-24,4723
"86",2018-06-25,3225.58373205742
"87",2018-06-26,3538.53092783505
"88",2018-06-27,2441.88586956522
"89",2018-06-28,4538.07518796992
"90",2018-06-29,5050.45355191257
"91",2018-06-30,4415.16666666667
"92",2018-07-01,3086.01587301587
"93",2018-07-02,4041.91129032258
"94",2018-07-03,3503.71502590674
"95",2018-07-04,2792.54268292683
"96",2018-07-05,2237.57594936709
"97",2018-07-06,3697.140625
"98",2018-07-07,4765.59477124183
"99",2018-07-08,4531.93023255814
"100",2018-07-09,4380.46706586826
"101",2018-07-10,4130.07142857143
"102",2018-07-11,4867.32275132275
"103",2018-07-12,4128.32352941176
"104",2018-07-13,5105.57399103139
"105",2018-07-14,4458.52307692308
"106",2018-07-15,4179.36538461538
"107",2018-07-16,4509.84745762712
"108",2018-07-17,3898.08910891089
"109",2018-07-18,2694.85826771654
"110",2018-07-19,3519.39912280702
"111",2018-07-20,3813.65470852018
"112",2018-07-21,3704.08374384236
"113",2018-07-22,3520.21568627451
"114",2018-07-23,3617.73958333333
"115",2018-07-24,4183.2380952381
"116",2018-07-25,3565.84375
"117",2018-07-26,3893.12749003984
"118",2018-07-27,4948.87139107612
"119",2018-07-28,4619.47590361446
"120",2018-07-29,3879.39583333333
"121",2018-07-30,4236.84860557769
"122",2018-07-31,2016
"123",2018-08-01,4149.42657342657
"124",2018-08-02,4313.76666666667
"125",2018-08-03,4749.11151079137
"126",2018-08-04,4198.92052980132
"127",2018-08-05,4756.31818181818
"128",2018-08-06,4623.37974683544
"129",2018-08-07,3905.98427672956
"130",2018-08-08,4718.31275720165
"131",2018-08-09,3383.94505494505
"132",2018-08-10,4597.54372623574
"133",2018-08-11,4847.515625
"134",2018-08-12,5254.70588235294
"135",2018-08-13,4821.64285714286
"136",2018-08-14,5088.26501766784
"137",2018-08-15,4983.98888888889
"138",2018-08-16,4551.93515358362
"139",2018-08-17,4935.78571428571
"140",2018-08-18,4264.12608695652
"141",2018-08-19,4242.4054054054
"142",2018-08-20,5031.50840336134
"143",2018-09-01,4343.54
"144",2018-09-02,3928.04761904762
"145",2018-09-03,3011.67368421053
"146",2018-09-04,4830.38479809976
"147",2018-09-05,3947.91448931116
"148",2018-09-06,4549.003125
"149",2018-09-07,3953.32602739726
"150",2018-09-08,3795.44755244755
"151",2018-09-09,4487.13
"152",2018-09-10,3569.57401812689
"153",2018-09-11,3295.56637168142
"154",2018-09-12,3530.47272727273
"155",2018-09-13,3427.4188034188
"156",2018-09-14,3378.78645833333
"157",2018-09-15,3991.35714285714
"158",2018-09-16,3703.97260273973
"159",2018-09-17,4689.49230769231
"160",2018-09-18,4439.65491183879
"161",2018-09-19,4165.5308370044
"162",2018-09-20,4752.30026109661
"163",2018-09-21,3776.2196969697
"164",2018-09-22,4115.15413533835
"165",2018-09-23,2927.42452830189
"166",2018-09-24,4109.53652968037
"167",2018-09-25,3996.58658008658
"168",2018-09-26,4770.70422535211
"169",2018-09-27,4444.9861878453
"170",2018-09-28,4353.39144736842
"171",2018-09-29,4308.5275862069
"172",2018-09-30,3663.19095477387
"173",2018-10-01,4257.78299776286
"174",2018-10-02,3816.15100671141
"175",2018-10-03,3589.71138211382
"176",2018-10-04,4671.28275862069
"177",2018-10-05,3722.65368852459
"178",2018-10-06,4672.95192307692
"179",2018-10-07,4555.03870967742
"180",2018-10-08,4845.03944773175
"181",2018-10-09,4595.54545454545
"182",2018-10-10,4456.85467980296
"183",2018-10-11,5517.57725321888
"184",2018-10-12,5797.69818181818
"185",2018-10-13,6137.8167539267
"186",2018-10-14,5702.39705882353
"187",2018-10-15,5496.26365795724
"188",2018-10-16,5466.54461538462
"189",2018-10-17,5413.17647058824
"190",2018-10-18,6184.01481481481
"191",2018-10-19,5098.81203007519
"192",2018-10-20,5248.88343558282
"193",2018-10-21,4888.39285714286
"194",2018-10-22,4975.94214876033
"195",2018-10-23,4987.05102040816
"196",2018-10-24,4236.77176015474
"197",2018-10-25,4793.73615635179
"198",2018-10-26,4909.79951100244
"199",2018-10-27,5505.69505494505
"200",2018-10-28,3867.36888888889
"201",2018-10-29,4017.29711751663
"202",2018-10-30,4918.29205175601
"203",2018-10-31,4975.85091743119
"204",2018-11-01,5650.00778210117
"205",2018-11-02,4118.88333333333
"206",2018-11-03,5561.41951219512
"207",2018-11-04,4121.78481012658
"208",2018-11-05,4591.92307692308
"209",2018-11-06,5762.98134328358
"210",2018-11-07,5303.2
"211",2018-11-08,4252.21022727273
"212",2018-11-09,4289.875
"213",2018-11-10,5064.88666666667
"214",2018-11-11,6116.54255319149
"215",2018-11-12,4257.28746928747
"216",2018-11-13,5120.57188498403
"217",2018-11-14,4710.28804347826
"218",2018-11-15,6436.35398230089
"219",2018-11-16,5563.19420289855
"220",2018-11-17,6555.46666666667
"221",2018-11-18,5404
"222",2018-11-19,6151.2298136646
"223",2018-11-20,4939.51304347826
"224",2018-11-21,4532.7325
"225",2018-11-22,5472.11728395062
"226",2018-11-23,4287.56697819315
"227",2018-11-24,5924.12037037037
"228",2018-11-25,5212.40625
"229",2018-11-26,4209.80938416422
"230",2018-11-27,4725.62841530055
"231",2018-11-28,5031.21978021978
"232",2018-11-29,4715.64851485148
"233",2018-11-30,5357.33939393939
"234",2018-12-01,5013.47333333333
"235",2018-12-02,5588.01515151515
"236",2018-12-03,5718.6608040201
"237",2018-12-04,5347.14380530973
"238",2018-12-05,5271.2224824356
"239",2018-12-06,5605.39650145773
"240",2018-12-07,5247.21965317919
"241",2018-12-08,6144.37549407115
"242",2018-12-09,5353.22330097087
"243",2018-12-10,6286.37606837607
"244",2018-12-11,5890.659375
"245",2018-12-12,3684.45871559633
"246",2018-12-13,5842.89964157706
"247",2018-12-14,4566.59322033898
"248",2018-12-15,5523.96551724138
"249",2018-12-16,5428.79775280899
"250",2018-12-17,6165.28525641026
"251",2018-12-18,6157.12416107383
"252",2018-12-19,4981.28730512249
"253",2018-12-20,5128.13142857143
"254",2018-12-21,4655.80985915493
"255",2018-12-22,5049.04659498208
"256",2018-12-23,4919.90082644628
"257",2018-12-24,4445.18933333333
"258",2018-12-25,3918.20909090909
"259",2018-12-26,3942.28657314629
"260",2018-12-27,3964.22647058824
"261",2018-12-28,4582.56277056277
"262",2018-12-29,3787.21768707483
"263",2018-12-30,4706.58503401361
"264",2018-12-31,4723.43298969072
"265",2019-01-01,4996.52863436123
"266",2019-01-02,4887.72365339578
"267",2019-01-03,4931.26940639269
"268",2019-01-04,4354.55089820359
"269",2019-01-05,4560.48666666667
"270",2019-01-06,4227.13917525773
"271",2019-01-07,4800.01115241636
"272",2019-01-08,4295.21472392638
"273",2019-01-09,4248.61921288014
"274",2019-01-10,3920.74481327801
"275",2019-01-11,4420.53203883495
"276",2019-01-12,4167.28086419753
"277",2019-01-13,3686.29487179487
"278",2019-01-14,5185.35714285714
"279",2019-01-15,4716.5796812749
"280",2019-01-16,4447.75207986689
"281",2019-01-17,4431.27160493827
"282",2019-01-18,4643.15304347826
"283",2019-01-19,4561.89021479714
"284",2019-01-20,5243.48484848485
"285",2019-01-21,4140.02464788732
"286",2019-01-22,4671.80840336134
"287",2019-01-23,4981.35787321063
"288",2019-01-24,4706.17249417249
"289",2019-01-25,4575.12336448598
"290",2019-01-26,2811.39555555556
"291",2019-01-27,4312.75151515152
"292",2019-01-28,4290.77256944444
"293",2019-01-29,4447.27735849057
"294",2019-01-30,4034.52604166667
"295",2019-01-31,4340.64444444444
"296",2019-02-01,4765.77696526508
"297",2019-02-02,4057.85438972163
"298",2019-02-03,3945.112
"299",2019-02-04,4680.98901098901
"300",2019-02-05,4723.10099337748
"301",2019-02-06,4991.77777777778
"302",2019-02-07,4817.52551724138
"303",2019-02-08,4927.55757575758
"304",2019-02-09,5237.46405228758
