"","InvoiceDate2","M_NetFare2"
"1",2018-04-01,18090
"2",2018-04-02,36187
"3",2018-04-04,84169
"4",2018-04-05,31693
"5",2018-04-06,13392.1666666667
"6",2018-04-07,28967.8888888889
"7",2018-04-08,13936
"8",2018-04-09,83698.3333333333
"9",2018-04-10,36350
"10",2018-04-11,19201
"11",2018-04-13,34428.2727272727
"12",2018-04-16,61723
"13",2018-04-17,25861
"14",2018-04-19,7106.6
"15",2018-04-20,59143
"16",2018-04-22,7352
"17",2018-04-23,36195.3333333333
"18",2018-04-24,46579.2
"19",2018-04-25,46725.7
"20",2018-04-26,31601.4615384615
"21",2018-04-27,27193.3571428571
"22",2018-04-28,17172
"23",2018-04-30,22233.125
"24",2018-05-01,17089
"25",2018-05-02,42164.5
"26",2018-05-03,19532
"27",2018-05-04,31979.3333333333
"28",2018-05-05,31855
"29",2018-05-06,29468.5
"30",2018-05-07,52865.6
"31",2018-05-08,31033.3333333333
"32",2018-05-09,43176.4
"33",2018-05-10,18834
"34",2018-05-11,14944.7
"35",2018-05-14,33660
"36",2018-05-15,58571.6
"37",2018-05-16,14114.8333333333
"38",2018-05-17,22219
"39",2018-05-18,36883.5
"40",2018-05-19,54238
"41",2018-05-20,32419
"42",2018-05-22,46998
"43",2018-05-23,12580.1666666667
"44",2018-05-24,41355.1
"45",2018-05-25,14673.3333333333
"46",2018-05-27,23673
"47",2018-05-28,17467
"48",2018-05-29,34031.6666666667
"49",2018-05-30,51576
"50",2018-06-01,21103.75
"51",2018-06-02,149469
"52",2018-06-03,45302.5
"53",2018-06-04,34030.25
"54",2018-06-05,20948.6
"55",2018-06-07,42927.6666666667
"56",2018-06-08,436365.5
"57",2018-06-09,24822.5882352941
"58",2018-06-10,43473.6666666667
"59",2018-06-11,21238
"60",2018-06-12,44709.5
"61",2018-06-13,30367.25
"62",2018-06-14,3573
"63",2018-06-15,30062
"64",2018-06-16,19448
"65",2018-06-18,8250
"66",2018-06-19,37858.75
"67",2018-06-20,17351.1666666667
"68",2018-06-21,29352.5
"69",2018-06-22,442.75
"70",2018-06-23,14481.6666666667
"71",2018-06-26,69872
"72",2018-06-27,9109.52941176471
"73",2018-06-28,42362.0833333333
"74",2018-06-29,22794.6666666667
"75",2018-06-30,12780.6
"76",2018-07-01,48591
"77",2018-07-02,10768.875
"78",2018-07-03,12203.6
"79",2018-07-05,22206.5
"80",2018-07-06,29656.4
"81",2018-07-07,40698.7142857143
"82",2018-07-08,10790.75
"83",2018-07-09,42257.7142857143
"84",2018-07-10,17640.1666666667
"85",2018-07-11,37278.3333333333
"86",2018-07-12,34271
"87",2018-07-13,27400.5555555556
"88",2018-07-15,21067
"89",2018-07-16,79143
"90",2018-07-17,18433.6
"91",2018-07-18,33397.6666666667
"92",2018-07-19,1595.09090909091
"93",2018-07-20,897.444444444444
"94",2018-07-21,9877.25
"95",2018-07-23,-26871.0769230769
"96",2018-07-24,16176.9285714286
"97",2018-07-25,34061.5
"98",2018-07-26,28491.4166666667
"99",2018-07-27,17620.2222222222
"100",2018-07-28,26904.8
"101",2018-07-30,61221
"102",2018-07-31,15161
"103",2018-08-01,40295.3333333333
"104",2018-08-02,14390.3
"105",2018-08-03,46261.6
"106",2018-08-04,25039.2857142857
"107",2018-08-05,16661.5
"108",2018-08-06,49777.5
"109",2018-08-07,18954.2
"110",2018-08-08,61330.2
"111",2018-08-09,76154.75
"112",2018-08-10,16016.875
"113",2018-08-11,10187
"114",2018-08-12,20431.5
"115",2018-08-13,4284.5
"116",2018-08-14,19708.5
"117",2018-08-15,29626
"118",2018-08-16,64865.75
"119",2018-08-17,160584.5
"120",2018-08-18,10001
"121",2018-08-19,38626
